station,dttm,lon,lat,temp,sal,fluor,chla,no3,po4,pH,alk
SS-001,2015-03-27T00:25:00.000Z,173.71833333333333,-43.435,14.4,34.64,3.07,0.416382815550316,0.31785290060278165,0.224,7.926,2.5023
SS-002,2015-03-27T23:39:00.000Z,176.34666666666666,-43.19166666666667,16.2,34.928,5.56,1.101906004836367,0.046543637018030784,0.21,7.915,2.7413
SS-003,2015-03-29T00:25:00.000Z,178.86333333333334,-43.445,16,34.715,7.48,0.9599156783250024,0.1792168483314529,0.205,7.921,2.9627
SS-004,2015-03-30T00:15:00.000Z,-178.62,-43.843333333333334,16.3,33.2,NA,0.30950837624068667,0.1807075585709296,0.149,8,2.4509
SS-005,2015-04-02T23:56:00.000Z,-175.57833333333335,-44.096666666666664,16,34.901,4.55,0.4255434817768555,0.7427053188536278,0.158,7.891,2.3976149999999996
SS-006,2015-04-03T00:04:00.000Z,-172.54833333333335,-43.32333333333333,16.2,35.103,3.29,0.2835531552654909,0.20157750192360271,0.055,7.959,2.1816299999999997
SS-007,2015-04-04T00:05:00.000Z,-169.71,-43.045,16.4,35.123,2.76,0.16446449432047533,0.024182983425880985,0.153,7.702,2.5089349999999997
SS-008,2015-04-05T00:14:00.000Z,-166.47833333333332,-42.985,15.7,34.698,5.12,0.11988258535131566,1.0676801510595382,0.261,7.911,3.39405
SS-009,2015-04-06T00:05:00.000Z,-164.21166666666667,-42.30166666666667,16.1,34.733,4.29,0.07102569880977082,0.6964933014298517,0.242,7.909,2.3092849999999996
SS-010,2015-04-07T00:13:00.000Z,-161.50333333333333,-41.583333333333336,16.4,34.6,3.4,0.0598802215674809,0.9663118547751257,0.12,7.93,2.54342
SS-011,2015-04-07T23:21:00.000Z,-158.66333333333333,-41.54,16.3,34.523,2.49,0.016977768073186832,1.7623511226556585,0.271,7.964,2.2324
SS-012,2015-04-09T00:37:00.000Z,-155.96833333333333,-41.345,16.4,35.559,3.66,0.06690339900782798,0.3148714801238283,0.13,7.994,2.481105
SS-013,2015-04-10T00:17:00.000Z,-154.90666666666667,-39.55833333333333,17.8,34.991,2.08,0.048276711013864,0.13002341042872337,0.139,8.01,1.576025
SS-014,2015-04-11T00:03:00.000Z,-153.745,-38.026666666666664,17.3,34.686,3.18,0.08018636503631049,0.1867906678233685,0.177,7.986,2.4925999999999995
SS-015,2015-04-11T23:26:00.000Z,-151.68,-37.02166666666667,17.9,34.712,3.51,0.05854357377124204,0.08412279854347303,0.15,8.002,2.7177
SS-016,2015-04-13T00:00:00.000Z,-150.06333333333333,-35.47666666666667,19.1,35.012,1.28,0.06852346439576533,0.10573708681292472,0.042,7.986,2.7092
SS-017,2015-04-13T23:28:00.000Z,-150.25333333333333,-33.596666666666664,20.6,35.307,1.17,0.04917783026207402,0.327,0.012,8.01,2.6529
SS-018,2015-04-15T00:30:00.000Z,-148.85,-31.911666666666665,20.8,35.434,1.16,0.02281375902040348,0.08007011949295084,0.135,8.025,2.5004649999999997
SS-019,2015-04-15T10:39:00.000Z,-148.82833333333335,-31.785,20.1,35.45,1.09,0.03735549829148488,0.08817547759399523,0.037,7.991,2.728
SS-020,2015-04-15T23:44:00.000Z,-148.31333333333333,-31.73,21.4,35.52,1.09,0.022155357186441717,0.11519333793080984,0.165,8.046,2.4624
SS-021,2015-04-16T11:19:00.000Z,-148.80333333333334,-31.32,21.1,35.453,1.1,0.025226092763218112,1.2404872209591378,0.77,8.019,2.5628
SS-022,2015-04-17T00:30:00.000Z,-147.73,-31.091666666666665,22.3,35.585,1.17,0.02108059973456998,1.1094505983255871,0.042,8.077,2.576695
SS-023,2015-04-17T12:00:00.000Z,-146.885,-30.77,22.2,35.59,1.11,0.022001820407602894,0.9459925432878586,0.037,8.044,2.5065
SS-024,2015-04-18T00:09:00.000Z,-146.19,-30.048333333333332,22.9,35.568,1.06,0.024458408869024017,0.08277190552663231,0.012,8.077,2.51075
SS-025,2015-04-18T10:48:00.000Z,-145.61333333333334,-29.356666666666666,22.8,35.319,1.03,0.02660792377276749,0.08547369156031376,NA,8.082,2.4968
SS-026,2015-04-18T23:43:00.000Z,-145.185,-28.705,23.5,35.483,1.05,0.019698768725020598,0.05710493820665844,NA,8.112,2.57
SS-027,2015-04-19T10:32:00.000Z,-144.91833333333332,-27.985,24.6,35.343,1.03,0.028757438676510972,NA,NA,8.114,2.5114
SS-028,2015-04-19T23:38:00.000Z,-144.18,-27.575,24.4,35.355,1.22,0.05777588987704794,NA,NA,8.045,2.54
SS-029,2015-04-20T10:31:00.000Z,-144.725,-27.223333333333333,24.3,35.46,1.09,0.02660792377276749,NA,NA,8.087,2.518
SS-030,2015-04-20T23:21:00.000Z,-145.31333333333333,-26.49,24.8,35.295,1.12,0.024919019205540474,NA,NA,8.108,2.6009
SS-031,2015-04-21T12:36:00.000Z,-145.92833333333334,-25.811666666666667,24.8,35.525,1.15,NA,NA,NA,8.077,2.4757
SS-032,2015-04-22T00:36:00.000Z,-146.33333333333334,-24.948333333333334,25,35.396,1.11,NA,NA,NA,8.094,2.4061
SS-033,2015-04-22T09:31:00.000Z,-146.62166666666667,-24.29,25.8,35.58,1.09,NA,NA,NA,8.139,2.464
SS-034,2015-04-22T23:37:00.000Z,-147.02666666666667,-23.695,26.7,35.599,1.35,NA,NA,NA,8.137615668561383,2.44178
SS-035,2015-04-23T13:13:00.000Z,-147.67666666666668,-23.795,26.6,35.569,1.19,NA,NA,NA,NA,NA
