station,dttm,lon,lat,temp,sal,fluor,moon_phase,moon_mode,tow_dist,biomass,nekt_total_num,nekt_total_vol,daynight
S258-001-NT,2015-03-27T00:04:00.000Z,173.73166666666665,-43.445,14.3,34.64,3.11,52,set,2200.3,100,0,0,night
S258-002-NT,2015-03-27T10:37:00.000Z,175.015,-43.38333333333333,16.8,35.11,6.42,52,set,1988,113,0,0,day
S258-003-NT,2015-03-27T23:31:00.000Z,176.34333333333333,-43.19,16.2,34.92,3.83,52,risen,1157.8,153,6,23,night
S258-004-NT,2015-03-28T10:30:00.000Z,177.42666666666668,-43.51166666666666,16.3,34.84,3.76,62,set,1231.1,1650,0,0,day
S258-005-NT,2015-03-29T00:11:00.000Z,178.85833333333332,-43.435,16.1,34.69,7.83,71,risen,1561.6,64,14,30,night
S258-006-NT,2015-03-29T10:42:00.000Z,179.95166666666665,-43.641666666666666,16.8,34.86,3.06,71,set,2791.2,9,0,0,day
S258-007-NT,2015-03-29T23:59:00.000Z,-178.63166666666666,-43.84,16.3,33.2,NA,71,risen,2438,41,7,13.25,night
S258-008-NT,2015-03-30T10:49:00.000Z,-177.51833333333335,-44.08166666666666,NA,NA,NA,79,set,2340.1,165,0,0,day
S258-009-NT,2015-04-02T11:56:00.000Z,-176.75,-44.06,15.5,34.89,3.41,96,set,1417.5,1,0,0,day
S258-010-NT,2015-04-02T23:53:00.000Z,-175.58,-44.098333333333336,15.9,34.9,4.55,96,risen,1582.8,93,0,0,night
S258-011-NT,2015-04-03T11:55:00.000Z,-174.05666666666667,-43.935,16.4,35.1,5.7,99,set,2501.5,6.5,0,0,day
S258-012-NT,2015-04-03T00:04:00.000Z,-172.54833333333335,-43.325,16.2,35.1,3.33,99,risen,1425.1,13,7,2,night
S258-014-NT,2015-04-03T23:41:00.000Z,-169.77,-43.04333333333334,16.4,35.13,3,99,risen,2397.8,11,38,10.7,night
S258-015-NT,2015-04-04T11:03:00.000Z,-168.41833333333332,-42.98833333333333,15.6,34.7,2.83,100,set,1784.9,150,0,0,day
S258-016-NT,2015-04-05T00:08:00.000Z,-166.47,-42.98833333333333,15.7,34.7,5.14,99,risen,1865.8,31,5,0.6,night
S258-017-NT,2015-04-05T11:22:00.000Z,-165.34333333333333,-42.833333333333336,15,34.6,3.42,99,set,1948.2,9.1,0,0,day
S258-018-NT,2015-04-05T23:37:00.000Z,-164.18333333333334,-42.305,16.1,34.73,5.22,99,risen,2240.3,32,30,17.1,night
S258-019-NT,2015-04-06T11:00:00.000Z,-163.10666666666665,-41.895,15.6,34.58,1.91,96,set,2455.3,29,2,0.75,day
S258-020-NT,2015-04-06T23:59:00.000Z,-161.50833333333333,-41.58166666666666,16.4,34.6,3.39,92,risen,1424.1,45,11,3.5,night
S258-021-NT,2015-04-07T11:01:00.000Z,-160.15333333333334,-41.571666666666665,16.2,34.52,1.57,92,set,1685.8,48,0,0,day
S258-022-NT,2015-04-07T23:13:00.000Z,-158.69333333333333,-41.53666666666667,16.4,34.52,2.41,92,risen,1911.4,415,8,0.8,night
S258-023-NT,2015-04-08T11:16:00.000Z,-157.13166666666666,-41.52333333333333,16.8,34.59,1.43,85,set,1548.2,53.75,5,0.5,day
S258-024-NT,2015-04-09T00:34:00.000Z,-155.97333333333333,-41.346666666666664,16.5,34.56,3.66,77,risen,2515.1,16.5,14,3.7,night
S258-026-NT,2015-04-10T00:04:00.000Z,-154.90166666666667,-39.56,18.2,34.96,1.96,77,risen,1553.7,7,3,1,night
S258-027-NT,2015-04-10T12:19:00.000Z,-154.71,-38.656666666666666,18.1,34.83,1.37,68,set,2183.3,6,2,0.75,day
S258-028-NT,2015-04-10T23:59:00.000Z,-153.74666666666667,-38.031666666666666,17.3,34.68,3.13,57,risen,2239.2,21,12,15.75,night
S258-029-NT,2015-04-11T11:14:00.000Z,-152.76833333333335,-37.693333333333335,17.8,34.8,1.78,57,risen,1942.9,4,0,0,day
S258-030-NT,2015-04-11T23:10:00.000Z,-151.68666666666667,-37.028333333333336,17.8,34.72,2.53,57,set,1957.2,18,7,2,night
S258-031-NT,2015-04-12T11:21:00.000Z,-151.21833333333333,-36.29333333333334,19,35.16,1.2,46,set,1785,80,0,0,day
S258-032-NT,2015-04-12T23:56:00.000Z,-150.06833333333333,-35.48,19.1,35.02,1.28,35,set,1437.3,274,17,5,night
S258-033-NT,2015-04-13T11:30:00.000Z,-149.84,-34.623333333333335,20.2,35.32,1.08,35,risen,1689.4,90,3,2,day
S258-034-NT,2015-04-13T23:15:00.000Z,-150.24833333333333,-33.6,20.6,35.31,1.16,35,set,1243.9,62,10,3.4,night
S258-035-NT,2015-04-14T11:11:00.000Z,-149.845,-32.74166666666667,20.6,35.24,1.05,25,risen,1662.9,15,3,7,day
S258-036-NT,2015-04-15T00:20:00.000Z,-148.84666666666666,-31.903333333333332,20.9,35.44,1.11,25,set,2392.8,106,28,6,night
S258-037-NT,2015-04-15T11:11:00.000Z,-148.82333333333332,-31.79,21,35.44,1.06,15,risen,1826,23,2,1,day
